policy,sample,rmse,hotspot_recall,top_risk_precision,redundancy_rate
ucb,21,1.3940733248087467,0.19166666666666665,0.5833333333333333,0.0
ucb,22,1.219054024320112,0.21666666666666665,0.6083333333333334,0.0
ucb,23,1.2068256805794368,0.225,0.6166666666666667,0.0
ucb,24,1.1633888156319976,0.2333333333333333,0.6250000000000001,0.0
ucb,25,1.1493385069341493,0.24999999999999994,0.6333333333333334,0.0
ucb,26,1.1537617074585538,0.26666666666666666,0.6166666666666667,0.0
ucb,27,1.1422575882300963,0.275,0.6333333333333334,0.0
ucb,28,1.1419041281091131,0.275,0.6333333333333334,0.0
ucb,29,1.116169298461634,0.29166666666666663,0.6166666666666667,0.0
ucb,30,1.1070179824690274,0.29166666666666663,0.625,0.0
ucb,31,1.082232330309869,0.3083333333333333,0.6416666666666667,0.0
ucb,32,1.0734094417832274,0.31666666666666665,0.6416666666666667,0.0
ucb,33,1.0774159773989782,0.33333333333333337,0.6416666666666667,0.0
ucb,34,1.0671751773677798,0.33333333333333337,0.6416666666666667,0.0
ucb,35,1.052091667144335,0.3416666666666667,0.65,0.0
ucb,36,1.023731962729887,0.35833333333333334,0.6666666666666667,0.0
ucb,37,1.0280062900460532,0.3666666666666667,0.6666666666666667,0.0
ucb,38,1.02550191778653,0.37500000000000006,0.6583333333333333,0.0
ucb,39,1.0181252338644,0.38333333333333336,0.6583333333333333,0.0
ucb,40,1.0190310461844685,0.38333333333333336,0.6833333333333333,0.0
thompson,1,2.8537582065555744,0.0,0.075,0.0
thompson,2,2.6259582670372232,0.008333333333333333,0.19999999999999998,0.0
thompson,3,2.584570710911594,0.008333333333333333,0.2,0.0
thompson,4,2.5337740238459063,0.016666666666666666,0.22500000000000003,0.0
thompson,5,2.583058566784678,0.041666666666666664,0.2333333333333334,0.0
thompson,6,2.4515574472434114,0.058333333333333334,0.25833333333333336,0.0
thompson,7,2.342592093266798,0.075,0.2833333333333333,0.0
thompson,8,2.2326049123077727,0.08333333333333333,0.31666666666666665,0.0125
thompson,9,2.1039376272107737,0.08333333333333333,0.35833333333333334,0.011111111111111117
thompson,10,2.035756789373318,0.08333333333333333,0.38333333333333336,0.009999999999999998
thompson,11,1.986626127124119,0.08333333333333333,0.37500000000000006,0.009090909090909094
thompson,12,1.8591505547240257,0.09999999999999999,0.4,0.008333333333333337
thompson,13,1.8001906220971613,0.10833333333333332,0.4333333333333334,0.0076923076923076875
thompson,14,1.8266004281359411,0.12499999999999997,0.4333333333333334,0.00714285714285714
thompson,15,1.7184654876720766,0.14999999999999997,0.45833333333333337,0.006666666666666665
thompson,16,1.6636586631027588,0.16666666666666666,0.4583333333333333,0.00625
thompson,17,1.576913717187575,0.16666666666666666,0.4416666666666666,0.005882352941176472
thompson,18,1.5213995506115419,0.175,0.4833333333333333,0.005555555555555558
thompson,19,1.503323902061973,0.175,0.4833333333333333,0.005263157894736847
thompson,20,1.4760987180294811,0.175,0.4999999999999999,0.010000000000000009
thompson,21,1.463941391801926,0.1833333333333333,0.4999999999999999,0.014285714285714301
thompson,22,1.4558953089862041,0.1833333333333333,0.4999999999999999,0.018181818181818167
thompson,23,1.4394275758187314,0.1833333333333333,0.4916666666666666,0.021739130434782594
thompson,24,1.4253311273805278,0.19166666666666665,0.4833333333333333,0.020833333333333315
thompson,25,1.402159172596169,0.19999999999999998,0.5,0.02400000000000002
thompson,26,1.3793439207341531,0.19999999999999998,0.5083333333333333,0.02307692307692306
thompson,27,1.2765985570660856,0.225,0.5833333333333334,0.022222222222222254
thompson,28,1.2680181701786524,0.225,0.5833333333333333,0.02142857142857142
thompson,29,1.2394442282828853,0.2333333333333334,0.5833333333333333,0.02068965517241377
thompson,30,1.2307921160235191,0.2333333333333334,0.5833333333333333,0.019999999999999997
